Measurement,F stat,P value
Shoot mass,7.887351,< 0.001
Root mass,6.566990987,< 0.001
Total mass,10.00944915,< 0.001
Root/shoot ratio,3.653267095,< 0.001
Root colonization,1.789150147,0.062
total_biomass_esponse,0.686065711,0.75
root_biomass_response,2.749295535,0.003
shoot_biomass_response,6.330732432,< 0.001
Inoculum,2.454915058,0.008
TN,3.302306435,< 0.001
P,5.072643703,< 0.001
Ca,4.262630302,< 0.001
K,4.618460269,< 0.001
Mg,4.856498314,< 0.001
Na,13.55999456,< 0.001
S,1.522201895,0.131
Fe,1.639474873,0.095
Zn,3.341245272,< 0.001
Cu,1.752065681,0.069
Mn,4.516003877,< 0.001
Length,7.218309678,< 0.001
Diameter (avg),2.771378704,0.003
Forks,4.156765246,< 0.001
Surface area,11.10840315,< 0.001
