,BC R2,Jac R2
TN,1.3871930796242933,-0.30262521924847874
P,-0.8796072049811994,1.6280459617631367
Ca,-2.344405090394108,-0.42370429625018863
K,-0.013515019952442893,-3.2093164161090972
Mg,4.579883950125756,-2.934328116302853
Na,-1.1415428502592373,4.972388112269328
S,0.5884060644192233,-1.7086159121980575
Fe,-0.019915603947909012,0.6341190564316647
Zn,3.240945441627263,5.97120437123447
Cu,5.3892475484999185,6.894975655389912
Mn,1.957016559095371,-4.289787647753964
Length,4.402798622514677,7.106905117292654
AvgDiam,1.5828016407277903,3.7939411913902696
SurfArea,3.0703699561991082,3.8225098950276886
shoot_mass,5.452579479434812,5.225437005688094
root_mass,-2.1031356090210633,-2.2361149769230892
total_mass,1.917592750956341,1.0278521046343887
ratio_root_to_shoot,3.153858094442426,5.892886555695321
root_colonization,4.881048835620106,4.287491560925364
total_biomass_esponse,-0.3431618555164881,-0.8557183150761032
root_biomass_response,-0.4643722624971997,1.0252941111344678
shoot_biomass_response,7.379577349639792,5.838229018696392
